click_id,impression_id,click_ts,updated_at
clk1,imp1,2025-01-01 00:15:43,2025-01-01 00:15:45
clk2,imp2,2025-01-01 00:31:21,2025-01-01 00:31:23
clk3,imp3,2025-01-01 00:46:59,2025-01-01 00:47:01
clk4,imp4,2025-01-01 01:02:37,2025-01-01 01:02:39
clk5,imp5,2025-01-01 01:18:15,2025-01-01 01:18:17
clk6,imp6,2025-01-01 01:33:53,2025-01-01 01:33:55
clk7,imp7,2025-01-01 01:49:31,2025-01-01 01:49:33
clk8,imp8,2025-01-01 02:05:09,2025-01-01 02:05:11
clk9,imp9,2025-01-01 02:20:47,2025-01-01 02:20:49
clk10,imp10,2025-01-01 02:36:25,2025-01-01 02:36:27
clk11,imp11,2025-01-01 02:52:03,2025-01-01 02:52:05
clk12,imp12,2025-01-01 03:07:41,2025-01-01 03:07:43
clk13,imp13,2025-01-01 03:23:19,2025-01-01 03:23:21
clk14,imp14,2025-01-01 03:38:57,2025-01-01 03:38:59
clk15,imp15,2025-01-01 03:54:35,2025-01-01 03:54:37
clk16,imp16,2025-01-01 04:10:13,2025-01-01 04:10:15
clk17,imp17,2025-01-01 04:25:51,2025-01-01 04:25:53
clk18,imp18,2025-01-01 04:41:29,2025-01-01 04:41:31
clk19,imp19,2025-01-01 04:57:07,2025-01-01 04:57:09
clk20,imp20,2025-01-01 05:12:45,2025-01-01 05:12:47
clk21,imp21,2025-01-01 05:28:23,2025-01-01 05:28:25
clk22,imp22,2025-01-01 05:44:01,2025-01-01 05:44:03
clk23,imp23,2025-01-01 05:59:39,2025-01-01 05:59:41
clk24,imp24,2025-01-01 06:15:17,2025-01-01 06:15:19
clk25,imp25,2025-01-01 06:30:55,2025-01-01 06:30:57
clk26,imp26,2025-01-01 06:46:33,2025-01-01 06:46:35
clk27,imp27,2025-01-01 07:02:11,2025-01-01 07:02:13
clk28,imp28,2025-01-01 07:17:49,2025-01-01 07:17:51
clk29,imp29,2025-01-01 07:33:27,2025-01-01 07:33:29
clk30,imp30,2025-01-01 07:49:05,2025-01-01 07:49:07
clk31,imp31,2025-01-01 08:04:43,2025-01-01 08:04:45
clk32,imp32,2025-01-01 08:20:21,2025-01-01 08:20:23
clk33,imp33,2025-01-01 08:35:59,2025-01-01 08:36:01
clk34,imp34,2025-01-01 08:51:37,2025-01-01 08:51:39
clk35,imp35,2025-01-01 09:07:15,2025-01-01 09:07:17
clk36,imp36,2025-01-01 09:22:53,2025-01-01 09:22:55
clk37,imp37,2025-01-01 09:38:31,2025-01-01 09:38:33
clk38,imp38,2025-01-01 09:54:09,2025-01-01 09:54:11
clk39,imp39,2025-01-01 10:09:47,2025-01-01 10:09:49
clk40,imp40,2025-01-01 10:25:25,2025-01-01 10:25:27
clk41,imp41,2025-01-01 10:41:03,2025-01-01 10:41:05
clk42,imp42,2025-01-01 10:56:41,2025-01-01 10:56:43
clk43,imp43,2025-01-01 10:51:29,2025-01-01 10:51:31
clk44,imp44,2025-01-01 11:27:57,2025-01-01 11:27:59
clk45,imp45,2025-01-01 11:43:35,2025-01-01 11:43:37
clk46,imp46,2025-01-01 11:59:13,2025-01-01 11:59:15
clk47,imp47,2025-01-01 12:14:51,2025-01-01 12:14:53
clk48,imp48,2025-01-01 12:30:29,2025-01-01 12:30:31
clk49,imp49,2025-01-01 12:46:07,2025-01-01 12:46:09
clk50,imp50,2025-01-01 13:00:55,2025-01-01 13:00:57
clk51,imp51,2025-01-01 13:16:33,2025-01-01 13:16:35
clk52,imp52,2025-01-01 13:32:11,2025-01-01 13:32:13
clk53,imp53,2025-01-01 13:47:49,2025-01-01 13:47:51
clk54,imp54,2025-01-01 14:03:27,2025-01-01 14:03:29
clk55,imp55,2025-01-01 14:19:05,2025-01-01 14:19:07
clk56,imp56,2025-01-01 14:34:43,2025-01-01 14:34:45
clk57,imp57,2025-01-01 14:50:21,2025-01-01 14:50:23
clk58,imp58,2025-01-01 15:05:59,2025-01-01 15:06:01
clk59,imp59,2025-01-01 15:21:37,2025-01-01 15:21:39
clk60,imp60,2025-01-01 15:37:15,2025-01-01 15:37:17
clk61,imp61,2025-01-01 15:52:53,2025-01-01 15:52:55
clk62,imp62,2025-01-01 16:08:31,2025-01-01 16:08:33
clk63,imp63,2025-01-01 16:24:09,2025-01-01 16:24:11
clk64,imp64,2025-01-01 16:39:47,2025-01-01 16:39:49
clk65,imp65,2025-01-01 16:30:35,2025-01-01 16:30:37
clk66,imp66,2025-01-01 16:39:13,2025-01-01 16:39:15
clk67,imp67,2025-01-01 16:47:51,2025-01-01 16:47:53
clk68,imp68,2025-01-01 17:42:19,2025-01-01 17:42:21
clk69,imp69,2025-01-01 17:57:57,2025-01-01 17:57:59
clk70,imp70,2025-01-01 18:13:35,2025-01-01 18:13:37
clk71,imp71,2025-01-01 18:29:13,2025-01-01 18:29:15
clk72,imp72,2025-01-01 18:44:51,2025-01-01 18:44:53
clk73,imp73,2025-01-01 19:00:29,2025-01-01 19:00:31
clk74,imp74,2025-01-01 19:16:07,2025-01-01 19:16:09
clk75,imp75,2025-01-01 19:31:45,2025-01-01 19:31:47
clk76,imp76,2025-01-01 19:47:23,2025-01-01 19:47:25
clk77,imp77,2025-01-01 20:03:01,2025-01-01 20:03:03
clk78,imp78,2025-01-01 20:18:39,2025-01-01 20:18:41
clk79,imp79,2025-01-01 20:34:17,2025-01-01 20:34:19
clk80,imp80,2025-01-01 20:49:55,2025-01-01 20:49:57
clk81,imp81,2025-01-01 21:05:33,2025-01-01 21:05:35
clk82,imp82,2025-01-01 21:21:11,2025-01-01 21:21:13
clk83,imp83,2025-01-01 21:36:49,2025-01-01 21:36:51
clk84,imp84,2025-01-01 21:52:27,2025-01-01 21:52:29
