impression_id,session_id,user_id,title_id,impression_ts,ad_network,updated_at
imp1,sess1,u1,t1,2025-01-01 00:15:37,adflow,2025-01-01 00:15:38
imp2,sess2,u2,t2,2025-01-01 00:31:14,sponsorx,2025-01-01 00:31:15
imp3,sess3,u3,t3,2025-01-01 00:46:51,mediagrid,2025-01-01 00:46:52
imp4,sess4,u4,t4,2025-01-01 01:02:28,streamads,2025-01-01 01:02:29
imp5,sess5,u5,t5,2025-01-01 01:18:05,adflow,2025-01-01 01:18:06
imp6,sess6,u5,t6,2025-01-01 01:33:42,sponsorx,2025-01-01 01:33:43
imp7,sess7,u6,t7,2025-01-01 01:49:19,mediagrid,2025-01-01 01:49:20
imp8,sess8,u7,t8,2025-01-01 02:04:56,streamads,2025-01-01 02:04:57
imp9,sess9,u8,t9,2025-01-01 02:20:33,adflow,2025-01-01 02:20:34
imp10,sess10,u9,t10,2025-01-01 02:36:10,sponsorx,2025-01-01 02:36:11
imp11,sess11,u10,t11,2025-01-01 02:51:47,mediagrid,2025-01-01 02:51:48
imp12,sess12,u1,t12,2025-01-01 03:07:24,streamads,2025-01-01 03:07:25
imp13,sess13,u2,t13,2025-01-01 03:23:01,adflow,2025-01-01 03:23:02
imp14,sess14,u3,t14,2025-01-01 03:38:38,sponsorx,2025-01-01 03:38:39
imp15,sess15,u4,t15,2025-01-01 03:54:15,mediagrid,2025-01-01 03:54:16
imp16,sess16,u5,t16,2025-01-01 04:09:52,streamads,2025-01-01 04:09:53
imp17,sess17,u5,t17,2025-01-01 04:25:29,adflow,2025-01-01 04:25:30
imp18,sess18,u6,t18,2025-01-01 04:41:06,sponsorx,2025-01-01 04:41:07
imp19,sess19,u7,t19,2025-01-01 04:56:43,mediagrid,2025-01-01 04:56:44
imp20,sess20,u8,t20,2025-01-01 05:12:20,streamads,2025-01-01 05:12:21
imp21,sess21,u9,t21,2025-01-01 05:27:57,adflow,2025-01-01 05:27:58
imp22,sess22,u10,t22,2025-01-01 05:43:34,sponsorx,2025-01-01 05:43:35
imp23,sess23,u1,t23,2025-01-01 05:59:11,mediagrid,2025-01-01 05:59:12
imp24,sess24,u2,t24,2025-01-01 06:14:48,streamads,2025-01-01 06:14:49
imp25,sess25,u3,t25,2025-01-01 06:30:25,adflow,2025-01-01 06:30:26
imp26,sess26,u4,t26,2025-01-01 06:46:02,sponsorx,2025-01-01 06:46:03
imp27,sess27,u5,t27,2025-01-01 07:01:39,mediagrid,2025-01-01 07:01:40
imp28,sess28,u5,t28,2025-01-01 07:17:16,streamads,2025-01-01 07:17:17
imp29,sess29,u6,t29,2025-01-01 07:32:53,adflow,2025-01-01 07:32:54
imp30,sess30,u7,t30,2025-01-01 07:48:30,sponsorx,2025-01-01 07:48:31
imp31,sess31,u8,t31,2025-01-01 08:04:07,mediagrid,2025-01-01 08:04:08
imp32,sess32,u9,t32,2025-01-01 08:19:44,streamads,2025-01-01 08:19:45
imp33,sess33,u10,t33,2025-01-01 08:35:21,adflow,2025-01-01 08:35:22
imp34,sess34,u1,t34,2025-01-01 08:50:58,sponsorx,2025-01-01 08:50:59
imp35,sess35,u2,t35,2025-01-01 09:06:35,mediagrid,2025-01-01 09:06:36
imp36,sess36,u3,t36,2025-01-01 09:22:12,streamads,2025-01-01 09:22:13
imp37,sess37,u4,t37,2025-01-01 09:37:49,adflow,2025-01-01 09:37:50
imp38,sess38,u5,t38,2025-01-01 09:53:26,sponsorx,2025-01-01 09:53:27
imp39,sess39,u5,t39,2025-01-01 10:09:03,mediagrid,2025-01-01 10:09:04
imp40,sess40,u6,t40,2025-01-01 10:24:40,streamads,2025-01-01 10:24:41
imp41,sess41,u7,t41,2025-01-01 10:40:17,adflow,2025-01-01 10:40:18
imp42,sess42,u8,t42,2025-01-01 10:55:54,sponsorx,2025-01-01 10:55:55
imp43,sess43,u9,t43,2025-01-01 10:50:41,mediagrid,2025-01-01 10:50:42
imp44,sess44,u10,t44,2025-01-01 11:27:08,streamads,2025-01-01 11:27:09
imp45,sess45,u1,t45,2025-01-01 11:42:45,adflow,2025-01-01 11:42:46
imp46,sess46,u2,t46,2025-01-01 11:58:22,sponsorx,2025-01-01 11:58:23
