payment_id,subscription_id,payment_ts,amount_usd,currency,payment_status,updated_at
pay1,s1,2024-01-01 12:05:00,9.99,USD,succeeded,2024-01-01 12:05:03
pay2,s10,2024-01-02 00:05:00,11.99,USD,succeeded,2024-01-02 00:05:03
pay3,s11,2024-01-02 12:05:00,13.99,USD,succeeded,2024-01-02 12:05:03
pay4,s2,2024-01-03 00:05:00,15.99,USD,succeeded,2024-01-03 00:05:03
pay5,s3,2024-01-03 12:05:00,-9.99,USD,refund,2024-01-03 12:05:03
pay6,s4,2024-01-04 00:05:00,9.99,USD,succeeded,2024-01-04 00:05:03
pay7,s5,2024-01-04 12:05:00,11.99,USD,succeeded,2024-01-04 12:05:03
pay8,s6,2024-01-05 00:05:00,13.99,USD,succeeded,2024-01-05 00:05:03
pay9,s7,2024-01-05 12:05:00,15.99,USD,succeeded,2024-01-05 12:05:03
pay10,s8,2024-01-06 00:05:00,-11.99,USD,refund,2024-01-06 00:05:03
pay11,s9,2024-01-06 12:05:00,9.99,USD,succeeded,2024-01-06 12:05:03
pay12,s1,2024-01-07 00:05:00,0.00,USD,failed,2024-01-07 00:05:03
pay13,s10,2024-01-07 12:05:00,13.99,USD,succeeded,2024-01-07 12:05:03
pay14,s11,2024-01-08 00:05:00,15.99,USD,succeeded,2024-01-08 00:05:03
pay15,s2,2024-01-08 12:05:00,7.99,USD,succeeded,2024-01-08 12:05:03
pay16,s3,2024-01-09 00:05:00,9.99,USD,succeeded,2024-01-09 00:05:03
pay17,s4,2024-01-09 12:05:00,-9.99,USD,refund,2024-01-09 12:05:03
pay18,s5,2024-01-10 00:05:00,13.99,USD,succeeded,2024-01-10 00:05:03
pay19,s6,2024-01-10 12:05:00,15.99,USD,succeeded,2024-01-10 12:05:03
pay20,s7,2024-01-11 00:05:00,7.99,USD,succeeded,2024-01-11 00:05:03
pay21,s8,2024-01-11 12:05:00,9.99,USD,succeeded,2024-01-11 12:05:03
pay22,s9,2024-01-12 00:05:00,-11.99,USD,refund,2024-01-12 00:05:03
pay23,s1,2024-01-12 12:05:00,13.99,USD,succeeded,2024-01-12 12:05:03
pay24,s10,2024-01-13 00:05:00,0.00,USD,failed,2024-01-13 00:05:03
pay25,s11,2024-01-13 12:05:00,7.99,USD,succeeded,2024-01-13 12:05:03
pay26,s2,2024-01-14 00:05:00,9.99,USD,succeeded,2024-01-14 00:05:03
pay27,s3,2024-01-14 12:05:00,11.99,USD,succeeded,2024-01-14 12:05:03
pay28,s4,2024-01-15 00:05:00,13.99,USD,succeeded,2024-01-15 00:05:03
pay29,s5,2024-01-15 12:05:00,-9.99,USD,refund,2024-01-15 12:05:03
pay30,s6,2024-01-16 00:05:00,7.99,USD,succeeded,2024-01-16 00:05:03
pay31,s7,2024-01-16 12:05:00,9.99,USD,succeeded,2024-01-16 12:05:03
pay32,s8,2024-01-17 00:05:00,11.99,USD,succeeded,2024-01-17 00:05:03
pay33,s9,2024-01-17 12:05:00,13.99,USD,succeeded,2024-01-17 12:05:03
pay34,s1,2024-01-18 00:05:00,-11.99,USD,refund,2024-01-18 00:05:03
pay35,s10,2024-01-18 12:05:00,7.99,USD,succeeded,2024-01-18 12:05:03
pay36,s11,2024-01-19 00:05:00,0.00,USD,failed,2024-01-19 00:05:03
pay37,s2,2024-01-19 12:05:00,11.99,USD,succeeded,2024-01-19 12:05:03
pay38,s3,2024-01-20 00:05:00,13.99,USD,succeeded,2024-01-20 00:05:03
pay39,s4,2024-01-20 12:05:00,15.99,USD,succeeded,2024-01-20 12:05:03
pay40,s5,2024-01-21 00:05:00,7.99,USD,succeeded,2024-01-21 00:05:03
pay41,s6,2024-01-21 12:05:00,-9.99,USD,refund,2024-01-21 12:05:03
pay42,s7,2024-01-22 00:05:00,11.99,USD,succeeded,2024-01-22 00:05:03
pay43,s8,2024-01-22 12:05:00,13.99,USD,succeeded,2024-01-22 12:05:03
pay44,s9,2024-01-23 00:05:00,15.99,USD,succeeded,2024-01-23 00:05:03
pay45,s1,2024-01-23 12:05:00,7.99,USD,succeeded,2024-01-23 12:05:03
pay46,s10,2024-01-24 00:05:00,-11.99,USD,refund,2024-01-24 00:05:03
pay47,s11,2024-01-24 12:05:00,11.99,USD,succeeded,2024-01-24 12:05:03
pay48,s2,2024-01-25 00:05:00,0.00,USD,failed,2024-01-25 00:05:03
pay49,s3,2024-01-25 12:05:00,15.99,USD,succeeded,2024-01-25 12:05:03
pay50,s4,2024-01-26 00:05:00,7.99,USD,succeeded,2024-01-26 00:05:03
pay51,s5,2024-01-26 12:05:00,9.99,USD,succeeded,2024-01-26 12:05:03
pay52,s6,2024-01-27 00:05:00,11.99,USD,succeeded,2024-01-27 00:05:03
pay53,s7,2024-01-27 12:05:00,-9.99,USD,refund,2024-01-27 12:05:03
pay54,s8,2024-01-28 00:05:00,15.99,USD,succeeded,2024-01-28 00:05:03
pay55,s9,2024-01-28 12:05:00,7.99,USD,succeeded,2024-01-28 12:05:03
pay56,s1,2024-01-29 00:05:00,9.99,USD,succeeded,2024-01-29 00:05:03
pay57,s10,2024-01-29 12:05:00,11.99,USD,succeeded,2024-01-29 12:05:03
pay58,s11,2024-01-30 00:05:00,-11.99,USD,refund,2024-01-30 00:05:03
pay59,s2,2024-01-30 12:05:00,15.99,USD,succeeded,2024-01-30 12:05:03
pay60,s3,2024-01-31 00:05:00,0.00,USD,failed,2024-01-31 00:05:03
pay61,s4,2024-01-31 12:05:00,9.99,USD,succeeded,2024-01-31 12:05:03
pay62,s5,2024-02-01 00:05:00,11.99,USD,succeeded,2024-02-01 00:05:03
pay63,s6,2024-02-01 12:05:00,13.99,USD,succeeded,2024-02-01 12:05:03
pay64,s7,2024-02-02 00:05:00,15.99,USD,succeeded,2024-02-02 00:05:03
pay65,s8,2024-02-02 12:05:00,-9.99,USD,refund,2024-02-02 12:05:03
pay66,s9,2024-02-03 00:05:00,9.99,USD,succeeded,2024-02-03 00:05:03
pay67,s1,2024-02-03 12:05:00,11.99,USD,succeeded,2024-02-03 12:05:03
pay68,s10,2024-02-04 00:05:00,13.99,USD,succeeded,2024-02-04 00:05:03
pay69,s11,2024-02-04 12:05:00,15.99,USD,succeeded,2024-02-04 12:05:03
pay70,s2,2024-02-05 00:05:00,-11.99,USD,refund,2024-02-05 00:05:03
pay71,s3,2024-02-05 12:05:00,9.99,USD,succeeded,2024-02-05 12:05:03
pay72,s4,2024-02-06 00:05:00,0.00,USD,failed,2024-02-06 00:05:03
pay73,s5,2024-02-06 12:05:00,13.99,USD,succeeded,2024-02-06 12:05:03
pay74,s6,2024-02-07 00:05:00,15.99,USD,succeeded,2024-02-07 00:05:03
pay75,s7,2024-02-07 12:05:00,7.99,USD,succeeded,2024-02-07 12:05:03
pay76,s8,2024-02-08 00:05:00,9.99,USD,succeeded,2024-02-08 00:05:03
pay77,s9,2024-02-08 12:05:00,-9.99,USD,refund,2024-02-08 12:05:03
pay78,s1,2024-02-09 00:05:00,13.99,USD,succeeded,2024-02-09 00:05:03
pay79,s10,2024-02-09 12:05:00,15.99,USD,succeeded,2024-02-09 12:05:03
pay80,s11,2024-02-10 00:05:00,7.99,USD,succeeded,2024-02-10 00:05:03
pay81,s2,2024-02-10 12:05:00,9.99,USD,succeeded,2024-02-10 12:05:03
pay82,s3,2024-02-11 00:05:00,-11.99,USD,refund,2024-02-11 00:05:03
pay83,s4,2024-02-11 12:05:00,13.99,USD,succeeded,2024-02-11 12:05:03
pay84,s5,2024-02-12 00:05:00,0.00,USD,failed,2024-02-12 00:05:03
pay85,s6,2024-02-12 12:05:00,7.99,USD,succeeded,2024-02-12 12:05:03
pay86,s7,2024-02-13 00:05:00,9.99,USD,succeeded,2024-02-13 00:05:03
pay87,s8,2024-02-13 12:05:00,11.99,USD,succeeded,2024-02-13 12:05:03
pay88,s9,2024-02-14 00:05:00,13.99,USD,succeeded,2024-02-14 00:05:03
pay89,s1,2024-02-14 12:05:00,-9.99,USD,refund,2024-02-14 12:05:03
pay90,s10,2024-02-15 00:05:00,7.99,USD,succeeded,2024-02-15 00:05:03
pay91,s11,2024-02-15 12:05:00,9.99,USD,succeeded,2024-02-15 12:05:03
pay92,s2,2024-02-16 00:05:00,11.99,USD,succeeded,2024-02-16 00:05:03
pay93,s3,2024-02-16 12:05:00,13.99,USD,succeeded,2024-02-16 12:05:03
pay94,s4,2024-02-17 00:05:00,-11.99,USD,refund,2024-02-17 00:05:03
pay95,s5,2024-02-17 12:05:00,7.99,USD,succeeded,2024-02-17 12:05:03
pay96,s6,2024-02-18 00:05:00,0.00,USD,failed,2024-02-18 00:05:03
pay97,s7,2024-02-18 12:05:00,11.99,USD,succeeded,2024-02-18 12:05:03
pay98,s8,2024-02-19 00:05:00,13.99,USD,succeeded,2024-02-19 00:05:03
pay99,s9,2024-02-19 12:05:00,15.99,USD,succeeded,2024-02-19 12:05:03
pay100,s1,2024-02-20 00:05:00,7.99,USD,succeeded,2024-02-20 00:05:03
pay101,s10,2024-02-20 12:05:00,-9.99,USD,refund,2024-02-20 12:05:03
pay102,s11,2024-02-21 00:05:00,11.99,USD,succeeded,2024-02-21 00:05:03
pay103,s2,2024-02-21 12:05:00,13.99,USD,succeeded,2024-02-21 12:05:03
pay104,s3,2024-02-22 00:05:00,15.99,USD,succeeded,2024-02-22 00:05:03
pay105,s4,2024-02-22 12:05:00,7.99,USD,succeeded,2024-02-22 12:05:03
pay106,s5,2024-02-23 00:05:00,-11.99,USD,refund,2024-02-23 00:05:03
pay107,s6,2024-02-23 12:05:00,11.99,USD,succeeded,2024-02-23 12:05:03
pay108,s7,2024-02-24 00:05:00,0.00,USD,failed,2024-02-24 00:05:03
pay109,s8,2024-02-24 12:05:00,15.99,USD,succeeded,2024-02-24 12:05:03
pay110,s9,2024-02-25 00:05:00,7.99,USD,succeeded,2024-02-25 00:05:03
pay111,s1,2024-02-25 12:05:00,9.99,USD,succeeded,2024-02-25 12:05:03
