session_id,user_id,profile_id,device_id,title_id,session_start_at,session_end_at,updated_at
sess1,u1,pr1,d1,t1,2025-01-01 00:15:00,2025-01-01 00:42:00,2025-01-01 00:43:00
sess2,u2,pr2,d2,t2,2025-01-01 00:30:00,2025-01-01 01:04:00,2025-01-01 01:05:00
sess3,u3,pr3,d3,t3,2025-01-01 00:45:00,2025-01-01 01:26:00,2025-01-01 01:27:00
sess4,u4,pr4,d4,t4,2025-01-01 01:00:00,2025-01-01 01:48:00,2025-01-01 01:49:00
sess5,u5,pr5,d5,t5,2025-01-01 01:15:00,2025-01-01 02:10:00,2025-01-01 02:11:00
sess6,u5,pr6,d6,t6,2025-01-01 01:30:00,2025-01-01 02:32:00,2025-01-01 02:33:00
sess7,u6,pr7,d7,t7,2025-01-01 01:45:00,2025-01-01 02:54:00,2025-01-01 02:55:00
sess8,u7,pr8,d8,t8,2025-01-01 02:00:00,2025-01-01 03:16:00,2025-01-01 03:17:00
sess9,u8,pr9,d9,t9,2025-01-01 02:15:00,2025-01-01 03:38:00,2025-01-01 03:39:00
sess10,u9,pr10,d1,t10,2025-01-01 02:30:00,2025-01-01 04:00:00,2025-01-01 04:01:00
sess11,u10,pr11,d2,t11,2025-01-01 02:45:00,2025-01-01 04:22:00,2025-01-01 04:23:00
sess12,u1,pr12,d3,t12,2025-01-01 03:00:00,2025-01-01 04:44:00,2025-01-01 04:45:00
sess13,u2,pr13,d4,t13,2025-01-01 03:15:00,2025-01-01 05:06:00,2025-01-01 05:07:00
sess14,u3,pr14,d5,t14,2025-01-01 03:30:00,2025-01-01 05:28:00,2025-01-01 05:29:00
sess15,u4,pr15,d6,t15,2025-01-01 03:45:00,2025-01-01 05:50:00,2025-01-01 05:51:00
sess16,u5,pr16,d7,t16,2025-01-01 04:00:00,2025-01-01 06:12:00,2025-01-01 06:13:00
sess17,u5,pr17,d8,t17,2025-01-01 04:15:00,2025-01-01 06:34:00,2025-01-01 06:35:00
sess18,u6,pr18,d9,t18,2025-01-01 04:30:00,2025-01-01 06:56:00,2025-01-01 06:57:00
sess19,u7,pr19,d1,t19,2025-01-01 04:45:00,2025-01-01 07:18:00,2025-01-01 07:19:00
sess20,u8,pr20,d2,t20,2025-01-01 05:00:00,2025-01-01 07:40:00,2025-01-01 07:41:00
sess21,u9,pr21,d3,t21,2025-01-01 05:15:00,2025-01-01 08:02:00,2025-01-01 08:03:00
sess22,u10,pr22,d4,t22,2025-01-01 05:30:00,2025-01-01 05:54:00,2025-01-01 05:55:00
sess23,u1,pr23,d5,t23,2025-01-01 05:45:00,2025-01-01 06:16:00,2025-01-01 06:17:00
sess24,u2,pr24,d6,t24,2025-01-01 06:00:00,2025-01-01 06:38:00,2025-01-01 06:39:00
sess25,u3,pr25,d7,t25,2025-01-01 06:15:00,2025-01-01 07:00:00,2025-01-01 07:01:00
sess26,u4,pr26,d8,t26,2025-01-01 06:30:00,2025-01-01 07:22:00,2025-01-01 07:23:00
sess27,u5,pr27,d9,t27,2025-01-01 06:45:00,2025-01-01 07:44:00,2025-01-01 07:45:00
sess28,u5,pr28,d1,t28,2025-01-01 07:00:00,2025-01-01 08:06:00,2025-01-01 08:07:00
sess29,u6,pr29,d2,t29,2025-01-01 07:15:00,2025-01-01 08:28:00,2025-01-01 08:29:00
sess30,u7,pr30,d3,t30,2025-01-01 07:30:00,2025-01-01 08:50:00,2025-01-01 08:51:00
sess31,u8,pr31,d4,t31,2025-01-01 07:45:00,2025-01-01 09:12:00,2025-01-01 09:13:00
sess32,u9,pr32,d5,t32,2025-01-01 08:00:00,2025-01-01 09:34:00,2025-01-01 09:35:00
sess33,u10,pr33,d6,t33,2025-01-01 08:15:00,2025-01-01 09:56:00,2025-01-01 09:57:00
sess34,u1,pr34,d7,t34,2025-01-01 08:30:00,2025-01-01 10:18:00,2025-01-01 10:19:00
sess35,u2,pr35,d8,t35,2025-01-01 08:45:00,2025-01-01 10:40:00,2025-01-01 10:41:00
sess36,u3,pr36,d9,t36,2025-01-01 09:00:00,2025-01-01 11:02:00,2025-01-01 11:03:00
sess37,u4,pr37,d1,t37,2025-01-01 09:15:00,2025-01-01 11:24:00,2025-01-01 11:25:00
sess38,u5,pr38,d2,t38,2025-01-01 09:30:00,2025-01-01 11:46:00,2025-01-01 11:47:00
sess39,u5,pr39,d3,t39,2025-01-01 09:45:00,2025-01-01 12:08:00,2025-01-01 12:09:00
sess40,u6,pr40,d4,t40,2025-01-01 10:00:00,2025-01-01 12:30:00,2025-01-01 12:31:00
sess41,u7,pr41,d5,t41,2025-01-01 10:15:00,2025-01-01 12:52:00,2025-01-01 12:53:00
sess42,u8,pr42,d6,t42,2025-01-01 10:30:00,2025-01-01 13:14:00,2025-01-01 13:15:00
sess43,u9,pr43,d7,t43,2025-01-01 10:45:00,2025-01-01 11:06:00,2025-01-01 11:07:00
